AQSID,Latitude,Longitude,long_name
(blank line)
530270008,46.817799,-123.193398,Oakville-Chehalis Tribe
530272002,46.977200,-123.831700,Aberdeen-Division St
530299999,48.294399,-122.660004,Oak Harbor-SW 6th
530310003,48.129101,-122.778900,Port Townsend-San Juan
530330017,47.490200,-121.772697,North Bend-North Bend Way
530330023,47.141102,-121.937897,Enumclaw Mud Mt
530330024,47.755001,-122.280602,Lake Forest Park-Town Ctr
530330037,47.613000,-122.201700,Bellevue-Bellevue Way
530330039,47.633099,-122.362801,Seattle-Queen Anne Hill
530330048,47.615299,-122.330002,Seattle-Olive St
530330080,47.568199,-122.306503,Seattle-Beacon Hill
530331011,47.530900,-122.320800,Seattle-South Park
530332004,47.386101,-122.230202,Kent-James and Central
530350007,47.592675,-122.627397,Bremerton-Spruce Ave
530351005,47.630800,-122.641100,Meadowdale-Blackbird Dr
530370002,46.993600,-120.545000,Ellensburg-Ruby St
530410004,46.664089,-122.967323,Chehalis-Market Blvd
530450007,47.213551,-123.100807,Shelton-W Franklin
530470009,48.364500,-120.121100,Twisp-Glover St
530470010,48.477200,-120.190600,Winthrop-Chewuch Rd
530470013,48.399990,-119.518959,Omak-Colville Tribe
530490002,46.685501,-123.727203,Raymond Commercial St.
530530012,46.784100,-121.740303,Mt Rainier-Jackson VisCtr
530530022,47.204399,-122.343300,Puyallup-Puyallup Tribe
530530029,47.186400,-122.451700,Tacoma-L St
530530031,47.265600,-122.385800,Tacoma-Alexander Ave
530531010,46.758300,-122.122200,Mount Rainier NP
530531018,47.140499,-122.299202,Puyallup-128th St
530570011,48.520590,-122.614280,Anacortes-202 Ave
530570015,48.410198,-122.337601,Mt Vernon-2nd Ave
530579999,48.465401,-122.559998,Anacortes-Bartholomew Rd
530610011,48.069000,-122.275000,Tulalip-Reuben Shelton
530630001,47.416401,-117.529800,Cheney-Turnbull
530630021,47.672501,-117.364899,Spokane-Augusta Ave
530630047,47.699700,-117.426300,Spokane-Monroe St.
530639997,47.663963,-117.257652,Spokane-E Broadway Ave
530639999,47.645351,-117.589027,Airway Heights-West 12th
530650002,47.885201,-117.988602,Wellpinit-Spokane Tribe
530650004,48.544700,-117.903600,Colville-Oak St S
530670013,47.029301,-122.821503,Lacey-College St
530710005,46.058800,-118.351400,Walla Walla-12th St
530730005,48.950699,-122.554398,Custer-Loomis
530730015,48.762699,-122.440201,Bellingham-Yew St
530750003,46.724500,-117.180100,Pullman-Dexter Ave
530750005,46.815300,-117.873900,Lacrosse-Hill St
530750006,47.231300,-117.368500,Rosalia-Josephine St
530770009,46.594952,-120.512283,Yakima-4th Ave
530770015,46.380199,-120.332603,Toppenish-Yakama Tribe
