AQSID,LAT,LONG,NAME
File mon_loc_ap5_asof-20160610.csv, from Jen Hinds June 10, 2016.  JKV
999999991,46.066695,-119.048655,Site1
999999992,46.209029,-119.772027,Site2
999999993,46.053712,-118.933714,Site3
999999994,46.343339,-119.09824,Site4
