AQSID,LAT,LONG,NAME
File mon_loc_ap5_asof-20160610.csv, from Jen Hinds June 10, 2016.  JKV
530050003,46.204582,-119.243743,Kennewick-S Clodfelter
530070010,47.598800,-120.664700,Leavenworth-Evans St
530070011,47.430610,-120.341950,Wenatchee-Fifth St
530090013,48.286700,-124.620300,Cheeka Peak
530090015,48.366058,-124.610046,Neah Bay 2-Makah Tribe
530090017,48.115000,-123.436434,Port Angeles-E 5th St
530110011,45.616600,-122.516602,Vancouver-Blairmont Dr
530110022,45.863899,-122.410889,Yacolt-Yacolt Rd
530110024,45.643360,-122.587370,Vancouver-NE 84th Ave
530130002,46.318000,-117.985000,Dayton-W Main
530150015,46.139400,-122.961900,Longview-30th Ave
530210002,46.575400,-119.002100,Mesa - Pepoit Way
530251002,47.130300,-119.272600,Moses Lake-Balsam St
530270011,47.339802,-124.291801,Taholah-Quinault Tribe
530272002,46.977200,-123.831700,Aberdeen-Division St
530299999,48.294399,-122.660004,Oak Harbor-SW 6th
530310003,48.129101,-122.778900,Port Townsend-San Juan
530330010,47.552502,-122.064697,Issaquah-Lake Sammamish
530330017,47.490200,-121.772697,North Bend-North Bend Way
530330023,47.141102,-121.937897,Enumclaw Mud Mt
530330024,47.755001,-122.280602,Lake Forest Park-Town Ctr
530330030,47.597222,-122.319722,Seattle-10th and Weller
530330037,47.613000,-122.201700,Bellevue-Bellevue Way
530330057,47.562000,-122.340500,Seattle-Duwamish
530330080,47.568236,-122.308628,Seattle-Beacon Hill
530331011,47.530900,-122.320800,Seattle-South Park
530332004,47.386101,-122.230202,Kent-James and Central
530350007,47.592675,-122.627397,Bremerton-Spruce Ave
530370002,46.993600,-120.545000,Ellensburg-Ruby St
530410004,46.664089,-122.967323,Chehalis-Market Blvd
530450007,47.213551,-123.100807,Shelton-W Franklin
530470009,48.364500,-120.121100,Twisp-Glover St
530470010,48.477200,-120.190600,Winthrop-Chewuch Rd
530470013,48.399990,-119.518959,Omak-Colville Tribe
530530012,46.784100,-121.740303,Mt Rainier-Jackson VisCtr
530530024,47.226340,-122.462560,Tacoma-S 36th St
