AQSID|NAME|AGENCY_ID|EPA_REGION|LAT|LONG|GMT_OFFSET|ABS_GMT_OFF
410630001|Enterprise - USFS|OR1|R10|45.426308|-117.296700|-8|8.00
410650007|The Dalles - Cherry Hts|OR1|R10|45.602402|-121.203354|-8|8.00
410670004|Hillsboro - Hare Field|OR1|R10|45.528530|-122.972443|-8|8.00
410670111|Beaverton - Highland Park|OR1|R10|45.470200|-122.815900|-8|8.00
490030003|Brigham City|UT1|R8|41.492802|-112.018700|-7|7.00
490050004|Logan|UT1|R8|41.731201|-111.837502|-7|7.00
490110004|BV|UT1|R8|40.897999|-111.885498|-6.00
490352004|Beach|UT1|R8|40.735001|-112.210999|-7|7.00
490353006|Hawthorne|UT1|R8|40.733501|-111.871696|-7|7.00
490450003|Tooele|UT1|R8|40.539299|-112.299797|-7|7.00
490490002|North Provo|UT1|R8|40.253502|-111.663200|-7|7.00
490494001|Lindon - Provo|UT1|R8|40.341400|-111.713600|-7|7.00
490570002|Ogden 2|UT1|R8|41.206402|-111.975197|-7|7.00
530010003|Ritzville - Alder St|WA1|R10|47.127998|-118.381897|-8|8.00
530030004|Clarkston - 13th St|WA1|R10|46.425598|-117.059799|-8|8.00
530050002|Kennewick-Metaline|WA1|R10|46.218300|-119.201500|-8|8.00
530070006|Wenatchee-Alaska Way|WA1|R10|47.412200|-120.318300|-8|8.00
530070010|Leavenworth-Evans St|WA1|R10|47.598800|-120.664700|-8|8.00
530090009|Port Angeles-W 14th St|WA1|R10|48.116901|-123.464500|-8|8.00
530090013|Cheeka Peak|WA1|R10|48.286700|-124.620300|-8|8.00
530090015|Neah Bay 2-Makah Tribe|WA1|R10|48.366058|-124.610046|-8|8.00
530110011|Vancouver-Blairmont Dr|WA1|R10|45.616600|-122.516602|-8|8.00
530110013|Vancouver-4th Pl Blvd E|WA1|R10|45.648300|-122.586900|-8|8.00
530110022|Yacolt-Yacolt Rd|WA1|R10|45.863899|-122.410889|-8|8.00
530130002|Dayton-W Main|WA1|R10|46.318000|-117.985000|-8|8.00
530150015|Longview-30th Ave|WA1|R10|46.139400|-122.961900|-8|8.00
530210002|Mesa-Pepoit Way|WA1|R10|46.575400|-119.002100|-8|8.00
530251002|Moses Lake-Balsam St|WA1|R10|47.130300|-119.272600|-8|8.00
530270008|Oakville-Chehalis Tribe|WA1|R10|46.817799|-123.193398|-8|8.00
530272002|Aberdeen-Division St|WA1|R10|46.977200|-123.831700|-8|8.00
530299999|Oak Harbor-SW 6th|WA1|R10|48.294399|-122.660004|-8|8.00
530310003|Port Townsend-San Juan|WA1|R10|48.129101|-122.778900|-8|8.00
530330017|North Bend-North Bend Way|WA1|R10|47.490200|-121.772697|-8|8.00
530330023|Enumclaw Mud Mt|WA1|R10|47.141102|-121.937897|-8|8:00
530330024|Lake Forest Park-Town Ctr|WA1|R10|47.755001|-122.280602|-8|8.00
530330037|Bellevue-Bellevue Way|WA1|R10|47.613000|-122.201700|-8|8.00
530330039|Seattle-Queen Anne Hill|WA1|R10|47.633099|-122.362801|-8|8.00
530330048|Seattle-Olive St|WA1|R10|47.615299|-122.330002|-8|8.00
530330080|Seattle-Beacon Hill|WA1|R10|47.568199|-122.306503|-8|8.00
530331011|Seattle-South Park|WA1|R10|47.530900|-122.320800|-8|8.00
530332004|Kent-James and Central|WA1|R10|47.386101|-122.230202|-8|8.00
530350007|Bremerton-Spruce Ave|WA1|R10|47.592675|-122.627397|-8|8.00
530351005|Meadowdale-Blackbird Dr|WA1|R10|47.630800|-122.641100|-8|8:00
530370002|Ellensburg-Ruby St|WA1|R10|46.993600|-120.545000|-8|8.00
530410004|Chehalis-Market Blvd|WA1|R10|46.664089|-122.967323|-8|8.00
530450007|Shelton-W Franklin|WA1|R10|47.213551|-123.100807|-8|8.00
530470009|Twisp-Glover St|WA1|R10|48.364500|-120.121100|-8|8.00
530470010|Winthrop-Chewuch Rd|WA1|R10|48.477200|-120.190600|-8|8.00
530470013|Omak-Colville Tribe|WA1|R10|48.399990|-119.518959|-8|8.00
530490002|Raymond Commercial St.|WA1|R10|46.685501|-123.727203|-8|8.00
530530012|Mt Rainier-Jackson VisCtr|WA1|R10|46.784100|-121.740303|-8|8.00
530530022|Puyallup-Puyallup Tribe|WA1|R10|47.204399|-122.343300|-8|8.00
530530029|Tacoma-L St|WA1|R10|47.186400|-122.451700|-8|8.00
530530031|Tacoma-Alexander Ave|WA1|R10|47.265600|-122.385800|-8|8.00
530531010|Mount Rainier NP|NP3|USEPA|46.758300|-122.122200|-8|8.00
530531018|Puyallup-128th St|WA1|R10|47.140499|-122.299202|-8|8.00
530570011|Anacortes-202 Ave|WA1|R10|48.520590|-122.614280|0.00
530570015|Mt Vernon-2nd Ave|WA1|R10|48.410198|-122.337601|-8|8.00
530579999|Anacortes-Bartholomew Rd|WA1|R10|48.465401|-122.559998|-8|8.00
530610011|Tulalip-Reuben Shelton|WA1|R10|48.069000|-122.275000|-8|8.00
530630001|Cheney-Turnbull|WA1|R10|47.416401|-117.529800|-8|8:00
530630021|Spokane-Augusta Ave|WA1|R10|47.672501|-117.364899|-8|8.00
530630047|Spokane-Monroe St.|WA1|R10|47.699700|-117.426300|-8|8.00
530639997|Spokane-E Broadway Ave|WA1|R10|47.663963|-117.257652|-8|8.00
530639999|Airway Heights-West 12th|WA1|R10|47.645351|-117.589027|-8|8.00
530650002|Wellpinit-Spokane Tribe|WA1|R10|47.885201|-117.988602|-8|8.00
530650004|Colville-Oak St S|WA1|R10|48.544700|-117.903600|-8|8.00
530670013|Lacey-College St|WA1|R10|47.029301|-122.821503|-8|8.00
530710005|Walla Walla-12th St|WA1|R10|46.058800|-118.351400|-8|8.00
530730005|Custer-Loomis|WA1|R10|48.950699|-122.554398|-8|8.00
530730015|Bellingham-Yew St|WA1|R10|48.762699|-122.440201|-8|8.00
530750003|Pullman-Dexter Ave|WA1|R10|46.724500|-117.180100|-8|8.00
530750005|Lacrosse-Hill St|WA1|R10|46.815300|-117.873900|-8|8.00
530750006|Rosalia-Josephine St|WA1|R10|47.231300|-117.368500|-8|8.00
530770009|Yakima-4th Ave|WA1|R10|46.594952|-120.512283|-8|8.00
530770015|Toppenish-Yakama Tribe|WA1|R10|46.380199|-120.332603|-8|8.00
530770016|White Swan-Yakama Tribe|WA1|R10|46.375431|-120.729317|-8|8.00
560391012|Yellowstone NP-Old Faith|NP3|USEPA|44.456902|-110.831398|-7|7.00
